country,description,designation,points,price,province,region_1,region_2,variety,winery
Spain,"Cedar cigar box and berry aromas become significantly more charred and toasted upon airing. It feels good, with plum, berry and plenty of burnt toast in the flavor package. It finishes dark and spicy, with a leftover burnt note.",Glorioso Crianza,87,13.0,Northern Spain,Rioja,,Tempranillo,Bodegas Palacio
France,"You can definitely detect the wood on this wine, but it is finely integrated with the creamy apricot and white fruit flavors. Acidity fits well into this ripe, easy and soft Chardonnay.",,87,,Burgundy,Mâcon-Villages,,Chardonnay,Louis Jadot
Portugal,"The typical burly character of Trincadeira is evident here. It is smoothed by wood aging and given extra richness with the powerful berry fruits and dark tannins. An attractive, early drinking, juicy wine.",Vila Santa,87,20.0,Alentejano,,,Trincadeira,J. Portugal Ramos
France,"One of the best Sylvaner's we've tried, this shows surprising richness and depth for the variety. Smells like honeyed bergamot, tastes like melons and pears, finishes with a refreshing, citrusy tang. Drink now.",Les Princes Abbés,88,14.0,Alsace,Alsace,,Silvaner,Domaines Schlumberger
Chile,"Casablanca is the new source for this winery's Sauvignon Blanc, which smells prickly and spicy, with lychee and melon notes. Feels smooth, fleshy and round, with green flavors of lime and lychee offset by mild bitterness. Peppery on the finish.",Reserva,86,12.0,Casablanca Valley,,,Sauvignon Blanc,Echeverria
US,"This is a good, elegantly structured Cabernet. It's bone dry, and marked by zesty acidity, as well as blackberry, black currant, cherry, mocha and bacon flavors. Especially likeable for its low, 13.9% alcohol. Drink now.",,88,21.0,California,Mendocino,Mendocino/Lake Counties,Cabernet Sauvignon,Husch
US,"A dry, polished Pinot, zesty in crisp coastal acidity, with a light texture framing flavors of red cherries, cola, rhubarb and pepper. Drink now.",,87,36.0,California,Sonoma Coast,Sonoma,Pinot Noir,Sojourn
US,"Nice and oaky and rich, from a vineyard in the heart of the cool-climate southern part of Russian River Valley. Acidity stars, giving zesty balance to the ripe pineapple, green apple, Key lime pie and pear flavors. New oak, to the tune of 40%, adds an opulent touch.",Olivet Lane Vineyard,90,22.0,California,Russian River Valley,Sonoma,Chardonnay,Pellegrini
US,"Light ruby in color, this offers fresh raspberry and red cherry aromas, slightly softer flavors of ripe plum and a smooth texture. It is medium bodied and easy to enjoy.",,86,8.0,California,California,California Other,Pinot Noir,Backhouse
US,"Normally used as a minor blending grape with Cabernet, Petit Verdot is difficult to make interesting by itself, and this one is no exception. Midnight black, raspingly dry and fiercely tannic, it has tobacco, cherry and oak flavors. Might someday evolve into something, but who knows.",Wappo Vineyard Reserve,84,25.0,California,Napa Valley,Napa,Petit Verdot,Stonegate
US,"From mountain vineyards, the peach fruit is wrapped in a tight, steely wine, with a firm tannic backbone. There are also complex crushed spices and the sweet vanilla of oak. A wine of great structure, it's also rich and delicious.",Spotted Owl,90,25.0,California,Mount Veeder,Napa,Chardonnay,Spelletich Cellars
US,"Dry and crisp, but too feline in strong green aromas and flavors. A little of that goes a long way. Modest lemon and lime fruit comes to the rescue, but too little, too late.",Reserve,82,18.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Rancho Zabaco
US,"Almost tropical in style, with abundantly ripe mango and pineapple on the nose and palate, this semidry Riesling is irresistibly lush and fruity. Zippy tangerine acidity and a zesty orange peel note provides refreshing restraint on the finish.",Semi-Dry,87,18.0,New York,Seneca Lake,Finger Lakes,Riesling,Belhurst
US,"This wine is a blend of De Ponte, Schindler and Kalita fruit, smooth and supple, though falling a bit flat in terms of mouthfeel. Leafy herbal components come up soonest, followed with sweet barrel notes, from 15 months in half new French oak.",Reserve,88,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Panther Creek
US,"Textbook Napa Cab. It's dry, smoothly tannic and subtle, with blackberry, cassis and dark chocolate flavors nicely intrigued with herbs, tobacco and cedar. Just delicious now and for the next few years.",,91,28.0,California,Napa Valley,Napa,Cabernet Sauvignon,Robert Mondavi
Australia,"A consistent performer, Yalumba's Hand Picked Shiraz-Viognier seems slightly bigger and chunkier in 2008 than in the past, with bold fruit—blueberries and blackberries—accented by hints of mint. Expect some savory notes to develop over the next couple of years in bottle.",Hand Picked,92,31.0,South Australia,Barossa,,Shiraz-Viognier,Yalumba
US,"Shows classic cool coastal Pinot Noir characteristics of light-bodied, silky smooth tannins, crisp acidity and delightful flavors of ripe raspberries, red cherries, cola and spices. A little one-dimensional, but totally drinkable.",Grand Detour Van der Kamp Vineyards,88,30.0,California,Sonoma Mountain,Sonoma,Pinot Noir,Landmark
Spain,"Roasted and mildly leafy, and then clacky and a bit tannic in the mouth. The fruit flavors are good and mostly pure as they settle on black cherry and blackberry, while the finish is jammy but short. For $8 this should not disappoint.",,86,8.0,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Capa
US,"Simple and seemingly sweet, this Chardonnay has apricot jam flavors.",,81,11.0,California,California,California Other,Chardonnay,Snapping Turtle
US,"It's a midnight-black wine, full-bodied and tannic, with immense black currant, grilled meat and black pepper flavors that finish bone dry. Already throwing some sediment, it will live for two decades, without gaining in complexity. Drink now–2025.",,87,28.0,California,Santa Barbara County,Central Coast,Petite Sirah,Santa Barbara Winery
Spain,"Makes a great early impression via ripe blackberry and toast aromas. Overall there's not much negative to say about this meaty, fruity youngster; it has a lovely color, dark cherry and blackberry flavors, and warm vanilla and chocolate notes on the finish. Becomes more tannic and chunky as it opens; but as an easy drinker it's very good.",Roble,88,19.0,Northern Spain,Ribera del Duero,,Tinto del Pais,Balbas
France,"Different from many inexpensive Merlots in that it offers a fair amount of acid and tannin structure to go along with plummy, coffee-tinged fruit. Crisp and dry on the finish, giving it the edge to pair successfully with grilled steaks or burgers.",,84,12.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Merlot,Red Bicyclette
US,"Very dark dark and tight, this is an almost-complete Bordeaux blend (includes everything but the Petit Verdot) but it is dominated by the 87% Cabernet Sauvignon. Clean black fruit aromas open slowly into broad strokes of cassis, tar and earth. Decanting is essential.",Reserve,89,22.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Waterbrook
US,"Fans of Barbera will find the hard acids and thick tannins they love in this rustic Italian variety. The flavors are all dry: dried blackberries and cherries, dried leather, cured tobacco leaf, beef jerky, star anise. Yet there's a fruity sweetness that's charming. Great with almost anything starring sausage.",Terra d'Oro,87,18.0,California,Amador County,Sierra Foothills,Barbera,Montevina
US,"A very approachable and ready-to-drink nonvintage red blend, this has about eight varietals in the mix. Aromas suggest buttered cherry soufflé served atop a plank of smoked cedar. There's a woody sense to the palate as well, with espresso and cherry liqueur.",Repertoire,88,22.0,California,Paso Robles,Central Coast,Red Blend,Harmony Cellars
France,"The nose is both supple and rich with its suggestion of ripe pear. The palate exemplifies the freshness of Riesling with its citrus overtones and is grounded by the textural richness of Pinot Gris. This is a rather successful blend of these two varieties, bringing ample freshness, texture and fruit. The finish is clean and dry.",Black Tie,89,15.0,Alsace,Alsace,,Alsace white blend,La Cave des Vignerons de Pfaffenheim
France,"Orange pink in color, this is a soft, medium dry wine that has pleasant raspberry flavors. It is fresh, made for those who like their sparkling wines without much acidity.",Brut Rosé,83,8.0,France Other,Vin Mousseux,,Sparkling Blend,Louis Perdrier
Portugal,"A full-bodied, ripe wine from the Dão. It has the classic minerality of the region, as well as solid fruit, dark tannins and spice. The combination of juicy sweetness and firm, dry tannins is very successful.",,86,10.0,Dão,,,Portuguese Red,Garrida
US,"Give this wine some airing out to let the SO2 blow off, and it will reward you with a pleasant mix of orange peel, sweet citrus and honeydew fruit. The residual sugar is 1.35%, but it feels a bit sugary in the mouth—definitely in the off-dry camp. Some of the fruit is from a 1973 Sagemoor block, among the oldest Riesling in Washington.",Sagemoor Vineyards,88,16.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Patit Creek Cellars
Italy,"This dark Recioto dessert wine opens with an inky black color and intense aromas of chocolate fudge, rum cake, Christmas spice, Spanish cedar and mesquite. In the mouth, the wine is thick, sweet and astringent at the same time, so pair it with pudding or chocolate cream cake.",Acinatico 500ml,88,,Veneto,Recioto della Valpolicella Classico,,"Corvina, Rondinella, Molinara",Stefano Accordini
France,"Hibiscus tea and minor biscuit notes add depth to this Cinsault-based rosé. Tart red cherry and cranberry flavors flesh out the mouth, leading into the refreshing finish.",Fiona,86,,Languedoc-Roussillon,Vin de Pays de L'Herault,,Rosé,Chateau Capion
US,"At the price, a pretty satisfying Malbec that's a little tight at first, with dark stewy notes, but on balance good texture and finish. It shows plum and black cherry flavors integrated throughout and a touch of Yolo earthiness, too.",,85,10.0,California,Yolo County,Central Valley,Malbec,Sawbuck
Italy,"Alluring aromas of violet, rose, dark berry and a hint of cured meat emerge on this firmly structured wine. The palate is rather extracted, offering rich black cherry, chocolate, tobacco and sweet spice alongside grippy tannins.",Pressenda,90,74.0,Piedmont,Barolo,,Nebbiolo,Marziano Abbona
US,"Light in color and body and modest in alcohol at 12%, this is a curiously intriguing Grenache, tightly wound in freshly picked strawberries and an undeniable earthiness. Aromas lean toward roses with a heavy hint of menthol. A touch of pepperiness on the finish completes the wine.",Ceja Farms,87,40.0,California,Sonoma Valley,Sonoma,Grenache,Sheldon
US,"Firm and slightly chewy, this interesting wine brings brambly berries, dried herbs, forest floor and light mushroom flavors together in a well-crafted, well-balanced effort. The alcohol is just over 13%, and the style is classic Oregon.",Founders' Reserve,90,35.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
US,"This is a new, reserve-style wine from veteran Ferrari-Carano. It shows its cool-climate origins in the brisk acidity that boosts well-ripened pineapple tart, green apple sauce, and Key lime pie flavors. It's also extremely oaky, and would be a better wine if it had less barrel influence.",Tré Terre,87,36.0,California,Russian River Valley,Sonoma,Chardonnay,Ferrari-Carano
Chile,"Nicely done and balanced, especially for Chilean rosé comprised of heavier grape types like Cabernet Sauvignon and Shiraz. The bouquet shows some rubber and smoke at first, and then it settles on clean berry fruit. The palate is simple, round and well sized, with plum and apple skin flavors. Drink now while it's fresh and lively.",Reserva Rosé,86,9.0,Maipo Valley,,,Cabernet Sauvignon-Shiraz,Santa Alicia
